"６９９
N3",御,Ngự,Từ kính ngữ
訓,御社,おんしゃ,đền thờ
音： ぎょ、ご,防御,ぼうぎょ,phòng ngự
,制御,せいぎょ,chế ngự
,御所,ごしょ,hooàng cung
,御覧,ごらん,
"７００
N2",循,Tuần,Tuần hoàn
音： じゅん,循環,じゅんかん,tuần hoàn
,因循,いんじゅん,do dự
,,,
"７０１
N3",微,Vi,"Nhỏ, tinh vi"
音： び,微小,びしょう,sự vi mô
,微笑,びしょう,sự mỉm cười
,微震,びしん,độn đất nhẹ
,微細,びさい,"bé tí ti, vụn vặt"
,微生物,びせいぶつ,vi sinh vật
"７０２
N2",徳,Đức,Đạo đức
音： とく,徳義,とくぎ,đạo nghĩa
,美徳,びとく,hiền đức
,道徳,どうとく,đạo đức
,悪徳,あくとく,việc làm trái đạo lí
,報徳,ほうとく,báo đáp ơn đức
"７０３
N2",徴,Trưng,Đặc trưng
音： ちょう,徴用,ちょうよう,sự trưng dụng
,徴税,ちょうぜい,thu thuế
,徴求,ちょうきゅう,tuyển dụng
,特徴,とくちょう,đặc trưng
,象徴,しょうちょう,biểu tượng
"７０４
N2",徹,Triệt,Triệt để
音： てつ,徹夜,てつや,thuức trắng cả đêm
,徹宵,てっしょう,không có giấc ngủ
,透徹,とうてつ,"thấu triệt, sáng sủa"
,貫徹,かんてつ,quán triệt
,冷徹,れいてつ,suy nghĩ thoáng
"７０５
N4",単,Đơn,Đơn giản
訓,単なる,たんなる,đơn thuần
音： たん,単語,たんご,từ vựng
,単独,たんどく,đơn độc
,単身,たんしん,một mình tự lực
,単純,たんじゅん,đơn thuần
"７０６
N2",巣,Sào,"Cái tổ, ổ"
訓,巣,す,cái tổ
音： そう,巣窟,そうくつ,cái hang
,営巣,えいそう,sự làm tổ chim
,蜂巣,ほうそう,tổ ong
"７０７
N4",営,Doanh,Kinh doanh
訓,営む,いとなむ,điều khiển
音： えい,営業,えいぎょう,doanh nghiệp
,経営,けいえい,kinh doanh
,運営,うんえい,sự quản lý
,民営,みんえい,quản lý tư nhân
"７０８
N4",厳,Nghiêm,Nghiêm ngặt
訓,厳しい,きびしい,nghiêm ngặt
,厳か,おそごか,sự uy nghiêm
音： げん、ごん,厳重,げんじゅう,nghiêm trọng
,厳密,げんみつ,chặt chẽ
,荘厳,そうごん,"trọng thể, uy nghi"
"７０９
N5",心,Tâm,"Tấm lòng, tim"
訓,心,こころ,"trái tim, tấm lòng"
音： しん、じん,心理,しんり,tâm lý
,心配,しんぱい,lo lắng
,関心,かんしん,quan tâm
,用心,ようじん,dụng tâm
７１０,忄,Bộ tâm,
"７１１
N5",必,Tất,Tất yếu
訓,必ず,かならず,nhất định
,必ずしも,かならずしも,không nhất định
音： ひつ,必要,ひつよう,cần thiết
,必死,ひっし,quyết tâm
"７１２
N4",応,Ứng,Phản ứng
訓,応じる,おうじる,đáp ứng
,応える,こたえる,phản ứng
音： おう、のう,応対,おうたい,đối ứng
,応援,おうえん,"cổ vũ, hổ trợ"
,順応,じゅんのう,thông cảm
"７１３
N3",志,Chí,Ý chí
訓,志す,こころざす,ước muốn
,志し,こころざし,khao khát
音： し,志向,しこう,chí hướng
,志願,しがん,nguyện vọng
,志望,しぼう,hoài bão
,意志,いし,"tâm chí, mong muốn"
"７１４
N5",忘,Vong,Quên
訓,忘れる,わすれる,quên
音： ぼう,忘年会,ぼうねんかい,tiệc cuối năm
,忘却,ぼうきゃく,sự lãng quên
,忘恩,ぼうおん,vong ơn
,健忘,けんぼう,sự đãng trí
"７１５
N2",忌,Kỵ,Cấm kỵ
訓,忌む,いむ,ghét
,忌まわしい,いまわしい,ghê sợ
音： き,忌中,きちゅう,"đau khổ, chịu tang"
,忌避,きひ,"né tránh, thoái thác"
,禁忌,きんき,cấm kỵ
"７１６
N3",忍,Nhẫn,Nhẫn nại
訓,忍ぶ,しのぶ,chịu đựng
,忍ばせる,しのばせる,"giấu, che đậy"
,,,
音： にん,忍耐,にんたい,nhẫn nại
,忍者,にんじゃ,nhẫn giả
,残忍,ざんにん,tàn nhẫn
,堪忍,かんにん,khoan dung
"７１７
N5",念,Niệm,Kỷ niệm
音： ねん,記念,きねん,kỷ niệm
,残念,ざんねん,đáng tiếc
,信念,しんねん,lòng tin
,断念,だんねん,từ bỏ
,概念,がいねん,khái niệm
"７１８
N2",忠,Trung,Trung thành
音： ちゅう,忠実,ちゅうじつ,trung thực
,忠誠,ちゅうせい,trung thành
,忠臣,ちゅうしん,trung thần
,忠告,ちゅうこく,lời khuyên
,忠孝,ちゅうこう,hiếu thảo
"７１９
N5",,Cấp,"Gấp, vội vàng"
訓,ぐ,いそぐ,"gấp, vội vàng"
,に,きゅうに,bất chợt
音： きゅう,用,きゅうよう,việc gấp
,速,きゅうそく,cấp tốc
,救  車,きゅうきゅうしゃ,xe cấp cứu
"７２０
N4",怒,Nộ,Tức giận
訓,怒る,おこる,tức giận
,怒り,いかり,cơn giận
音： ど,怒気,どき,nộ khí
,怒声,どせい,giọng giận dữ
,激怒,げきど,sự nổi giận
