"1921
音： ぶ,部品,ぶひん,"phụ tùng, linh kiện"
,部分,ぶぶん,bộ phận
,部長,ぶちょう,"trưởng phòng, trưởng bộ phận"
,幹部,かんぶ,cán bộ
,*部屋,へや,căn phòng
"1990
N3",郷,Hương,Làng quê
音： きょう、ごう,郷里,きょうり,"quê hương, cố hương"
,郷土,きょうど,"quê hương, địa phương"
,郷愁,きょうしゅう,"nhớ nhà, nỗi buồn xa xứ"
,同郷,どうきょう,"đồng hương, cùng quê"
,近郷,きんごう,vùng lân cận
"1991
N3",郵,Bưu,Bưu điện
音： ゆう,郵便,ゆうびん,bưu điện
,郵政,ゆうせい,bưu chính
,郵送,ゆうそう,gửi bằng đường bưu điện
,郵券,ゆうけん,"tem bưu chính, tem thư"
,郵袋,ゆうたい,bao thư
"1992
N2",郭,Quách,Viền rào ngoài thành
音： かく,輪郭,りんかく,"đường viền, đương bao"
,城郭,じょうかく,"lâu đài, tòa thành"
,外郭,がいかく,tương bao ngoài thành
,一郭,いっかく,khu vực trong 1 phạm vi được vây lại
1993,酉,Bộ Dậu,
"1994
N5",酒,Tửu,Rượu
訓,（お）酒,（お）さけ,rượu (các chất có cồn)
,酒屋,さかや,quán rượu
音： しゅ,飲酒,いんしゅ,uống rượu
,酒造,しゅぞう,nấu rượu
,日本酒,にほんしゅ,rượu Nhật Bản
"1995
N5",配,Phối,Phân phát
訓,（を）配る,（を）くばる,"phân phát, phân phối"
音： はい,配分,はいぶん,"phân phát, phân phối,
phân bố, phân chia"
,配達,はいたつ,chuyển phát
,支配,しはい,"chi phối, điều khiển, khống chế"
,心配,しんぱい,lo lắng
"1996
N2",酌,Chước,Rót rượu
訓,（を）酌む,（を）くむ,rót rượu
音： しゃく,酌量,しゃくりょう,"xem xét, giảm nhẹ, nương tay"
,媒酌,ばいしゃく,"mai mối, người mai mối"
,独酌,どくしゃく,uống rượu 1 mình
,参酌,さんしゃく,so sánh tham khảo
"1997
N2",酎,Trữu,Rượu ngon
音： ちゅう,酎ハイ,ちゅうハイ,"1 loại đồ uống có cồn đóng hộp của Nhật,
được làm từ lúa mạch và nước có gá có vị chanh"
"1998
N4",酔,Túy,Say rượu
訓,（に）酔う,（に）よう,"say rượu, say"
音： すい,麻酔,ますい,thuốc mê
,陶酔,とうすい,say sưa
,泥酔,でいすい,say mèm
,心酔,しんすい,"đam mê, mê mẩm, say mê"
"1999
N3",酢,Tạc,Giấm ăn
訓,酢,す,dấm
音： さく,酢酸,さくさん,axit axetic (CH3COOH)
"2000
N2",酬,Thù,Báo đáp
音： しゅう,貴酬,きしゅう,trả lời thư
,報酬,ほうしゅう,"thù lao, tiền công"
,応酬,おうしゅう,"đáp trả, báo đáp"
