"３２１
訓,お坊さん,おぼうさん,nhà sư
,坊主,ぼうず,trụ trì
,僧坊,そうぼう,thầy chùa
,赤ん坊,あかんぼう,em bé sơ sinh
,朝寝坊,あさねぼう,"dậy muộn, ngủ nướng"
"３９５
N2",坑,Khanh,Cái hố
音： こう,坑内,こうない,"trong hầm (lò, mỏ)"
,坑口,こうこう,cửa lò
,坑道,こうどう,đường hầm
,炭坑,たんこう,mỏ than
,開坑,かいこう,đào mỏ
"３９６
N2",垂,Thùy,Rủ xuống
訓,垂らす,たらす,"chảy xuống, rủ xuống"
,垂れる,たれる,"chảy xuống, rủ xuống"
音： すい,垂直,すいちょく,"thẳng gốc, thẳng đứng"
,懸垂,けんすい,"buông xuống, treo"
,虫垂炎,ちゅうすいえん,bệnh viêm ruột thừa
"３９７
N2",坪,Bình,Đơn vị đo diện tích
訓,坪,つぼ,đơn vị đo diện tích
,,,
"３９８
N4",型,Hình,Khuôn mẫu
訓,型,かた,"mẫu, hình, nhóm"
音： けい,模型,もけい,"mô hình, khuôn mẫu"
,定型,ていけい,hình dạng cố định
,,,
"３９９
N4",城,Thành,Thành lũy
訓,城,しろ,thành lũy
音： じょう,城内,じょうない,vây thành
,城壁,じょうへき,tường thành
,攻城,こうじょう,cung điện
,荒城,こうじょう,thành hoang phế
"４００
N2",垣,Viên,Hàng rào
訓,垣根,かきね,hàng rào
,石垣,いしがき,tường đá
,竹垣,たけがき,hàng rào tre
