"７２１
音,*憧憬,どうけい,"khát khao, ước ao"
"７８４
N3",憶,Ức,Ký ức
音： おく,憶測,おくそく,sự suy đoán
,憶説,おくせつ,giả thuyết
,憶断,おくだん,sự phỏng đoán
,記憶,きおく,"ký ức, trí nhớ"
,,,
"７８５
N3",懐,Hoài,Nhớ mong
訓,懐かしい,なつかしい,"hoài niệm, nhớ (kỷ niệm)"
,（を）懐かしむ,（を）なつかしむ,"hoài niệm, nhớ (kỷ niệm)"
,懐,ふところ,túi bên trong áo
音： かい,懐疑,かいぎ,sự hoài nghi
,懐中,かいちゅう,"đồ cầm tay, đồ bỏ túi"
"７８６
N2",憾,Hám,"Ăn năn, tiếc"
音： かん,遺憾,いかん,đáng tiếc
,,,
,,,
,,,
７８７,戈,Bộ qua,
"７８８
N4",成,Thành,Trở nên
音,（を）成す,（を）なす,làm xong
,（が）成る,（が）なる,trở thành
音： せい,成果,せいか,thành quả
,成長,せいちょう,"sự trưởng thành, sự tăng trưởng"
,成績,せいせき,thành tích
,結成,けっせい,sự kết thành
"７８９
N3",我,Ngã,"Tôi, chúng tôi"
訓,我,われ／わ,"tôi, ta"
音： が,我慢,がまん,"sự chịu đựng, sự kiềm chế"
,無我,むが,"sự quên mình, lòng vị tha"
,自我,じが,tự mình
,*怪我,けが,vết thương
"７９０
N2",戒,Giới,Cảnh báo
訓,戒める,いましめる,"khiển trách, la rầy"
音： かい,戒告,かいこく,"sự khiển trách, sự la rầy"
,戒律,かいりつ,giới luật
,警戒,けいかい,lời cảnh báo
,厳戒,げんかい,cảnh giác cao độ
"７９１
N3",戚,Thích,Thân thích
音： せき,外戚,がいせき,họ hàng bên ngoại
,親戚,しんせき,họ hàng
,姻戚,いんせき,thông gia
,縁戚,えんせき,"bà con, họ hàng"
"７９２
N4",戦,Chiến,Chiến tranh
訓,戦う,たたかう,chiến đấu
音： せん,戦線,せんせん,chiến tuyến
,大戦,たいせん,đại chiến
,作戦,さくせん,tác chiến
,停戦,ていせん,đình chiến
"７９３
N2",戯,Hí,Đùa giỡn
訓,戯れる,たわむれる,chơi đùa
音： ぎ,戯画,ぎが,biếm họa
,戯曲,ぎきょく,vở tuồng
,遊戯,ゆうぎ,trò chơi
,悪戯,あくぎ,"trò đùa, sự đùa cợt"
"７９４
N2",戴,Đới,Nhận
訓,戴く,いただく,đội lên đầu
音： たい、だい,奉戴,ほうたい,sự công nhận (cung kính)
,推戴,すいたい,lãnh đạo
,頂戴,ちょうだい,nhận (bản thân)
,,,
"７９５
N5",戸,Hộ,Cửa
訓,戸,と,"cửa, cánh cửa"
音： こ,戸数,こすう,số hộ
,戸籍,こせき,hộ khẩu
,門戸,もんこ,"cửa vào, cửa ngõ"
,一戸建て,いっこだて,nhà riêng
"７９６
N5",戻,Lệ,Quay lại
訓,戻す,もどす,trả lại chỗ cũ
,戻る,もどる,quay lại
音： れい,返戻,へんれい,sự hoàn trả
,暴戻,ぼうれい,chuyện trái đạo lý
"７９７
N5",所,Sở,Chỗ
訓,所,ところ,"nơi, chỗ"
音： しょ,所信,しょしん,sự tin tưởng
,所長,しょちょう,sở trường
,住所,じゅうしょ,địa chỉ
,近所,きんじょ,hàng xóm
"７９８
N4",房,Phòng,"Cái buồng, chùm"
訓,房,ふさ,"ngăn, tổ, buồng"
音： ぼう,書房,しょぼう,thư phòng
,冷房,れいぼう,"máy lạnh, chế độ làm lạnh"
,暖房,だんぼう,chế độ sưởi
,文房具,ぶんぼうぐ,văn phòng phẩm
"７９９
N2",扇,Phiến,Cái quạt
訓,扇ぐ,あおぐ,quạt
,扇,おうぎ,cái quạt
音： せん,扇子,せんす,quạt giấy
,扇動,せんどう,"sự kích động, sự xúi giục"
,扇風機,せんぷうき,máy quạt
"８００
N2",扉,Phi,Cánh cửa
訓,扉,とびら,cánh cửa
音： ひ,開扉,かいひ,việc mở cửa
,門扉,もんぴ,cánh cổng
,鉄扉,てっぴ,cửa sắt
