"４０１
,歓声,かんせい,sự hoan hô
"４４１
N5",売,Mại,Bán
訓,（を）売る,（を）うる,bán
,（が）売れる,（が）うれる,được bán
音： ばい,売買,ばいばい,buôn bán
,発売,はつばい,bán ra
,販売,はんばい,việc tiêu thụ sản phẩm
,競売,きょうばい,bán đấu giá
"４４２
N2",壱,Nhất,Một
音,壱,いち,một
４４３,夂,Bộ truy,
"４４４
N5",変,Biến,Thay đổi
訓,（を）変える,（を）かえる,thay đổi
,（が）変わる,（が）かわる,biến đổi
音： へん,変更,へんこう,sự biến đổi
,変動,へんどう,sự biến động
,変態,へんたい,biến thái
,大変,たいへん,"vất vả,…."
"４４５
N5",夏,Hạ,Mùa hè
訓,夏,なつ,mùa hè
音： か,夏季,かき,mùa hè
,今夏,こんか,mùa hè này
,初夏,しょか,đầu hè
,*夏至,げし,hạ chí
"４４６
N5",夕,Tịch,Buổi tối
訓,夕方,ゆうがた,xế chiều
,夕べ,ゆうべ,tối hôm qua
音： せき,一夕,いっせき,"một tối, vài tối"
,日夕,にっせき,ngày và đêm
,今夕,こんせき,đêm nay
"４４７
N5",外,Ngoại,Bên ngoài
訓,外,そと,bên ngoài
,（を）外す,（を）はずす,"loại bỏ, ra khỏi chổ"
,（が）外れる,（が）はずれる,tháo ra
音： がい、げ,海外,かいがい,hải ngoại
,外務,がいむ,công việc ngoại giao
,外科,げか,ngoại khoa
"４４８
N5",多,Đa,Nhiều
訓,多い,おおい,nhiều
音： た,多忙,たぼう,"rất bận, bận rộn"
,多様,たよう,đa dạng
,多量,たりょう,"đa lượng, lượng lớn"
,最多,さいた,tối đa
"４４９
N5",夜,Dạ,Đêm
訓,夜,よる,tối
,夜中,よなか,"nửa đêm, ban đêm"
音： や,夜間,やかん,buổi tối
,日夜,にちや,"ngày đêm, luôn luôn"
,昼夜,ちゅうや,ngày và đêm
"４５０
N4",夢,Mộng,Giấc mơ
訓,夢,ゆめ,giấc mơ
音： む,夢想,むそう,mộng tưởng
,夢幻,むげん,ảo mộng
,夢中,むちゅう,say mê
,悪夢,あくむ,ác mộng
"４５１
N5",大,Đại,Lớn
訓,大きい,おおきい,to lớn
,大きな,おおきな,to lớn
,大いに,おおいに,"nhiều, lớn, rất là"
,大（して／した）,たい（して／した）,không …nhiều
音： だい、たい,大統領,だいとうりょう,tổng thống
,大量,たいりょう,số lượng lớn
"４５２
N5",天,Thiên,"Trời, thời tiết"
訓,天,あま／あめ,thiên hà
音： てん,天理,てんり,luật tự nhiên
,天才,てんさい,thiên tài
,天文,てんもん,thiên văn
,晴天,せいてん,tạnh ráo
"４５３
N5",太,Thái,"Mập, to lớn"
訓,太い,ふとい,"mập, béo, to"
,太る,ふとる,"mập, to lớn"
音： たい、た,太陽,たいよう,mặt trời
,太平洋,たいへいよう,thái bình dương
,太郎,たろう,tên
"４５４
N5",夫,Phu,Chồng
訓,夫,おっと,chồng
音： ふ、ふう、ぶ,夫人,ふじん,vợ
,夫妻,ふさい,vợ chồng
,工夫,くふう,công nhân
,丈夫,じょうぶ,bền chắc
"４５５
N3",央,Ương,Chính giữa
音： おう,中央,ちゅうおう,trung ương
,震央,しんおう,tâm động đất
,年央,ねんおう,giữa năm
,,,
"４５６
N5",失,Thất,Mất
訓,失う,うしなう,đánh mất
,失くす,なくす,"giài thoát, bị mất gì đó"
音： しつ,失業,しつぎょう,thất nghiệp
,失敗,しっぱい,thất bại
,損失,そんしつ,tổn thất
"４５７
N3",奇,Kỳ,"Lạ, khác thường"
音： き,奇異,きい,"kỳ dị, lạ lùng"
