,（が）深まる,（が）ふかまる,"sâu sắc, uyên thâm"
音： しん,深海,しんかい,biển sâu
,水深,すいしん,mực nước
"１１６７
N2",清,Thanh,Trong sạch
訓,清い,きよい,"trong sạch, tinh khiết"
,（を）清める,（を）きよめる,"làm sạch, làm thanh khiết"
,（が）清まる,（が）きよまる,"được làm sạch, được làm thanh khiết"
音： せい,清算,せいさん,sự thanh toán
,清掃,せいそう,sự dọn dẹp
"１１６８
N2",液,Dịch,Chất lỏng
音： えき,液体,えきたい,chất lỏng
,血液,けつえき,máu
,溶液,ようえき,dung dịch
,廃液,はいえき,dung dịch phế thải
,乳液,にゅうえき,nhựa cây
"１１６９
N3",混,Hỗn,Trộn lẫn
訓,（を）混ぜる,（を）まぜる,"trộn, hòa trộn"
,（が）混ざる,（が）まざる,bị trộn lẫn
,（が）混じる,（が）まじる,"được trộn, được hòa lẫn"
,（が）混む,（が）こむ,đông đúc
音： こん,混迷,こんめい,sự hôn mê
"１１７０
N5",済,Tế,Làm xong
訓,（を）済ます,（を）すます,làm xong
,（が）済む,（が）すむ,hoàn thành
音： さい,返済,へんさい,sự hoàn trả (tiền)
,決済,けっさい,sự quyết toán
,経済,けいざい,kinh tế
"１１７１
N2",淡,Đạm,"Nhạt, chất đạm"
訓,淡い,あわい,"yếu, mỏng manh"
音： たん,淡水,たんすい,nước ngọt
,淡泊,たんぱく,"lạnh nhạt, thờ ơ"
,濃淡,のうたん,sự đậm nhạt
,冷淡,れいたん,"sự lãnh đạm, sụ dửng dưng"
"１１７２
N2",添,Thiêm,Thêm vào
訓,（を）添える,（を）そえる,"thêm vào, đính vào, kèm theo"
,（に）添う,（に）そう,"đi cùng, theo"
音： てん,添付,てんぷ,việc đính kèm
,添乗,てんじょう,việc đi kèm
,添加物,てんかぶつ,chất phụ gia
"１１７３
N2",涯,Nhai,Bờ biển
音： がい,生涯,しょうがい,sinh nhai
,天涯,てんがい,"chân trời, nơi xa xôi"
,境涯,きょうがい,"tình cảnh, tình huống"
,際涯,さいがい,ranh giới
,,,
"１１７４
N2",渇,Khát,Khát nước
訓,（が）渇く,（が）かわく,khát nước
音： かつ,渇望,かつぼう,sự khát khao
,渇水,かっすい,sự thiếu nước
,渇仰,かつごう,"sự tôn sùng, sự tôn thờ"
,枯渇,こかつ,sự cạn kiệt
"１１７５
N2",渓,Khê,Khê nước
音： けい,渓谷,けいこく,thung lũng
,渓流,けいりゅう,suối nước nguồn
,渓間,けいかん,khe núi
,雪渓,せっけい,thung lũng tuyết
,,,
"１１７６
N2",渋,Sáp,"Chát, nhăn nhó"
訓,渋い,しぶい,"chát, đắng"
,（が）渋る,（が）しぶる,"do dự, ngập ngừng, gượng gạo"
音： じゅう,渋滞,じゅうたい,kẹt xe
,苦渋,くじゅう,"sự cay đắng, sự đau khổ"
,難渋,なんじゅう,sự chậm trễ
"１１７７
N2",淑,Thục,Hiền thục
音： しゅく,淑女,しゅくじょ,cô/bà
