音： まい,曖昧,あいまい,mập mờ
,愚昧,ぐまい,"ngu muội, ngu xuẩn"
"９５２
N5",時,Thời,Thời gian
訓,時,とき,"khi, lúc"
音： じ、と,時給,じきゅう,lương theo giờ
,時間,じかん,thời gian
,同時,どうじ,đồng thời
,時計,とけい,đồng hồ
"９５３
N5",晴,Tình,Trời nắng
訓,（を）晴らす,（を）はらす,làm khỏe người lại
,（が）晴れる,（が）はれる,ánh nắng
音： せい,晴雨,せいう,nắng mưa
,快晴,かいせい,thời tiết đẹp
,陰晴,いんせい,có nắng và nhiều mây
"９５４
N5",暑,Thử,Trời nóng
訓,暑い,あつい,nóng
音： しょ,暑中,しょちゅう,giữa hè
,避暑,ひしょ,sự tránh nóng
,猛暑,もうしょ,nóng gay gắt
,炎暑,えんしょ,cái nóng cháy da
"９５５
N4",景,Cảnh,Cảnh sắc
音： けい、け,風景,ふうけい,phong cảnh
,光景,こうけい,quang cảnh
,背景,はいけい,bối cảnh
,景気,けいき,"tình hình, tình trạng"
,景色,けしき,"phong cảnh, cảnh sắc"
"９５６
N5",晩,Vãn,Buổi tối
音： ばん,一晩,ひとばん,"một đêm, cả đêm"
,毎晩,まいばん,mỗi tối
,昨晩,さくばん,tối hôm qua
,晩年,ばんねん,năm cuối đời
,晩婚,ばんこん,kết hôn muộn
"９５７
N5",普,Phổ,Phổ biến
音： ふ,普通,ふつう,"thông thường, phổ thông"
,普及,ふきゅう,phổ cập
,普段,ふだん,bình thường
,普請,ふしん,kiến trúc
,,,
"９５８
N2",晶,Tinh,Thủy tinh
音： しょう,水晶,すいしょう,"pha lê, thủy tinh"
,結晶,けっしょう,"kết tinh, tinh thể"
,液晶,えきしょう,tinh thể lỏng
,氷晶,ひょうしょう,tinh thể nước đá
,非晶質,ひしょうしつ,vô định hình
"９５９
N2",暁,Hiểu,Sáng sớm
訓,暁,あかつき,bình minh
音： ぎょう,暁星,ぎょうせい,"sao mai, (sao sáng sớm)"
,暁天,ぎょうてん,"bình minh, rạng đông"
,通暁,つうぎょう,"sự thức khuya, sự hiểu biết rõ"
,今暁,こんぎょう,sáng nay
"９６０
N5",暗,Ám,Tối tăm
訓,暗い,くらい,tối
音： あん,暗記,あんき,thuộc lòng
,暗号,あんごう,"ám hiệu, mật mã"
,暗殺,あんさつ,sự ám sát
,明暗,めいあん,tối và sáng
