"1441
,素顔,すがお,"khuôn mặt tự nhiên,
mặt mộc, mặt thật"
"1506
N3",純,Thuần,Thuần túy
音： じゅん,純益,じゅんえき,"lợi nhuận, doanh thu"
,純金,じゅんきん,vàng nguyên chất
,純白,じゅんぱく,trắng tinh
,純愛,じゅんあい,tình yêu trong sáng
,単純,たんじゅん,"đơn thuần, đơn sơ, đơn giản"
"1507
N3",納,Nạp,Nộp
訓,（を）納める,（を）おさめる,"nộp, đóng"
,（が）納まる,（が）おさまる,"(tiền) được thu vào, cho vào, ngồi, đứng vững (nghĩa bóng)"
音： のう、なつ,納税,のうぜい,"nạp thuế, đóng thuế"
,滞納,たいのう,"nộp trễ, quá hán"
,納得,なっとく,"thừa nhận, đồng ý, chấp nhận"
"1508
N2",紋,Văn,Vân tay
音： もん,紋章,もんしょう,"huy hiệu của gia tộc, đoàn thể"
,指紋,しもん,dấu vân tay
,波紋,はもん,gợn sóng
,風紋,ふうもん,sóng cát
,花紋,かもん,hoa văn
"1509
N2",紛,Phân,Bối rối
訓,紛らわしい,まぎらわしい,"dễ nhầm, mơ hồ, không rõ ràng"
,（を）紛らす,（を）まぎらす,"làm quên đi (nỗi đau), làm nguôi ngoai,
Ẩn mình"
,（を）紛らわす,（を）まぎらわす,"làm quên đi (nỗi đau), làm nguôi ngoai,
Ẩn mình"
,（に）紛れる,（に）まぎれる,"bị phân tán tư tưởng, bị làm phân tâm, sao nhãng. Hòa lẫn vào. Khó phân biệt"
,紛失,ふんしつ,"đánh mất, làm mất"
"1510
N2",索,Tác,Tìm tòi
音： さく,索引,さくいん,phụ lục
,捜索,そうさく,"tìm kiếm, điều tra"
,模索,もさく,"tìm, mò mẫm (bằng tay)"
,検索,けんさく,"tìm kiếm, tra cứu"
,思索,しさく,"ngẫm nghĩ, nghiền ngẫm"
"1511
N2",紡,Phưởng,Se chỉ
訓,（を）紡ぐ,（を）つむぐ,"kéo sợi, se chỉ, dệt"
音： ぼう,紡糸,ぼうし,"kéo sợi, dệt"
,紡績,ぼうせき,dệt
,混紡,こんぼう,sợi tổng hợp
"1512
N4",細,Tế,"Thon, chi tiết"
訓,細かい,こまかい,"chi tiết, chi li, nhỏ lẻ, cặn kẽ"
,細か（な）,こまか（な）,"chi tiết, tỉ mỉ, vụn vặt"
,細い,ほそい,"thon dài, mảnh mai"
,細る,ほそる,"gầy đi, hao mòn"
音： さい,細心,さいしん,"cẩn thận, thận trọng, kỹ lưỡng.
Nhút nhát, rụt rè, nhát gan"
,詳細,しょうさい,"tường tận, chi tiết"
"1513
N4",組,Tổ,"Tổ chức, nhóm"
訓,組,くみ,"tổ chức, nhóm"
,（を）組む,（を）くむ,"lắp ghép, kết hợp, khoanh (tay),
vắt chéo (chân)"
音： そ,組織,そしき,"tổ chức, cơ quan"
,組閣,そかく,tổ chức nội các
,組成,そせい,"cấu tạo, kết cấu"
