音： しつ,疾駆,しっく,,làm cho ngựa (xe) chạy nhanh
,疾走,しっそう,,"chạy rất nhanh, chạy hết tốc độ"
,疾風,しっぷう,,"gió lốc, gió mạnh"
,悪疾,あくしつ,,"bệnh khó chữa, bệnh ác tính"
"1338
N3",症,Chứng,,Triệu chứng
音： しょう,症状,しょうじょう,,tình trạng bệnh
,軽症,けいしょう,,triệu chứng nhẹ
,重症,じゅうしょう,,triệu chứng nặng
,炎症,えんしょう,,chứng viêm
,自閉症,じへいしょう,,bệnh tự kỷ
"1339
N2",痕,Ngân,,"Vết, dấu"
訓,痕,あと,,vết thẹo
音： こん,痕跡,こんせき,,"vết tích, dấu tích"
,血痕,けっこん,,vết máu
,弾痕,だんこん,,hố bom
,傷痕,しょうこん,,"vết thẹo, thương tổn, vết thương lòng"
"1340
N5",痛,Thống,,Đau
訓,痛い,いたい,,đau
,痛み,いたみ,,"cơn đau, nỗi đau"
,（を）痛める,（を）いためる,,"làm đau, làm tổn thương"
,（が）痛む,（が）いたむ,,"cảm thấy đau, cảm thấy bị tổn thương"
音： つう,痛感,つうかん,,"cảm nhận sâu sắc, cảm thấy thấm thía"
,悲痛,ひつう,,đau đớn
134１ N2,痘,Đậu,,Bệnh đậu mùa
音： とう,種痘,しゅとう,,tiêm chủng bệnh đậu mùa
,水痘,すいとう,,bệnh thủy đậu
,牛痘,ぎゅうとう,,bệnh đậu mùa ở bò
,天然痘,てんねんとう,,bệnh đậu mùa
,,,,
134２ N2,痢,Lỵ,,Bệnh tả lỵ
音： り,下痢,げり,,tiêu chảy
,赤痢,せきり,,"tiêu chảy ra máu, bệnh kiết lỵ"
,疫痢,えきり,,bệnh kiết lỵ ở trẻ em
,,,,
,,,,
134３ N2,痩,Sấu,,Gầy
訓,（が）痩せる,（が）やせる,,"gầy đi, đất đai cằn cỗi"
音： そう,痩身,そうしん,,"cơ thể mảnh mai, thon thả"
134４ N2,痴,Si,,Ngu đần
音： ち,痴人,ちじん,,"kẻ ngốc, kẻ ngu"
,痴漢,ちかん,,hành vi sàm sỡ người khác
,痴情,ちじょう,,"si tình, tình yêu mù quáng"
,音痴,おんち,,"mù về nhạc lý, cảm thụ âm kém"
,愚痴,ぐち,,"bất bình, phàn nàn, than thở"
134５ N2,瘍,Dương,,Khối u
音： よう,潰瘍,かいよう,,"lở loét, viêm loét"
,腫瘍,しゅよう,,"khối u, mụn nhọt"
"1346
N3",療,Liệu,,Điều trị
音： りょう,療法,りょうほう,,phương pháp điều trị
,療養,りょうよう,,"điều trị và nghỉ dưỡng, điều dưỡng"
,治療,ちりょう,,điều trị
,医療,いりょう,,chăm sóc y tế
,診療,しんりょう,,khám chữa bệnh
"1347
N2",癖,Phích,,Tật xấu
訓,癖,くせ,,"tật xấu, thói quen không tốt"
音： へき,性癖,せいへき,,"tâm tính, tính xấu"
,潔癖,けっぺき,,"quá sạch sẽ, quá liêm khiết"
,悪癖,あくへき,,"thói quen xấu, hành vi xấu"
,盗癖,とうへき,,"hay trộm đồ, hay ăn cắp vặt"
"1348
N2",癒,Dũ,,Hết bệnh
訓,（を）癒やす,（を）いやす,,"xoa dịu, giải tỏa bớt"
,（が）癒える,（が）いえる,,"hết bệnh, lành bệnh, được giải tỏa"
音： ゆ,癒着,ゆちゃく,,"bị dính chặt, liên quan mật thiết"
,治癒,ちゆ,,"lành vết thương, khỏi bệnh"
,平癒,へいゆ,,"khỏi bệnh, hết bệnh"
1349,癶,Bộ Bát,,
"1350
N4",発,Phát,,Xuất phát
訓,（が）発つ,（が）たつ,,"xuất phát, khởi hành, rời khỏi"
音： はつ、ほつ,発言,はつげん,,nêu ý kiến
,発展,はってん,,phát triển
,開発,かいはつ,,"khai thác, phát triển thêm"
,発足,ほっそく,,được thành lập và đi vào hoạt động
"1351
N5",登,Đăng,,Leo lên
訓,（に）登る,（に）のぼる,,leo lên
音： とう、と,登場,とうじょう,,"xuất hiện, ra đời"
,登録,とうろく,,"ghi tên vào sổ sách, đăng ký cấp phép"
,登校,とうこう,,đến trường
,登山,とざん,,leo núi
"1352
N5",白,Bạch,,Trắng
訓,白い,しろい,,màu trắng
,白,しら,,trắng
音： はく、びゃく,明白,めいはく,,rõ ràng
,告白,こくはく,,"thổ lộ, bày tỏ"
,白夜,びゃくや,,hiện tượng đêm trắng
"1353
N5",百,Bách,,Một trăm
音： ひゃく,百姓,ひゃくしょう,,nông dân
,百害,ひゃくがい,,không có lợi lộc gì
,百倍,ひゃくばい,,một trăm lần
,三百,さんびゃく,,ba trăm
,八百,はっぴゃく,,tám trăm
"1354
N4",的,Đích,,Mục đích
訓,的,まと,,"tâm ngắm, trọng tâm, tâm điểm"
音： てき,的確,てきかく,,"chính xác, rõ ràng"
,目的,もくてき,,mục đích
,公的,こうてき,,"mang tính công cộng, chung"
,法的,ほうてき,,mang tính pháp luật
"1355
N2",皇,Hoàng,,Vua
音： こう、のう、おう,皇室,こうしつ,,"hoàng thất, gia đình thiên hoàng"
,皇居,こうきょ,,hoàng cung
,天皇,てんのう,,thiên hoàng
,勤皇,きんのう,,phong trào cần vương
,法皇,ほうおう,,danh xưng thiên hoàng sau khi quy y
"1356
N5",皆,Giai,,"Tất cả, mọi người"
訓,皆,みな／みんな,,"tất cả, mọi người"
音： かい,皆無,かいむ,,không có gì cả
,皆目,かいもく,,hoàn toàn
,皆勤,かいきん,,"tham gia đầy đủ, đi làm đầy đủ"
,皆既,かいき,,che khuất toàn phần
"1357
N3",皮,Bì,,"Vỏ, da thú"
訓,皮,かわ,,"vỏ, da thú"
音： ひ,皮膚,ひふ,,"da người, da động vật"
,皮肉,ひにく,,"nói mỉa mai, nói châm biếm"
,表皮,ひょうひ,,lớp da trên cùng
,脱皮,だっぴ,,"thay da, lột xác"
"1358
N5",皿,Mãnh,,Cái dĩa
訓,皿,さら,,cái đĩa
"1359
N2",盆,Bồn,,Cái khay
音： ぼん,盆踊り,ぼんおどり,,điệu nhảy trong lễ Ôbôn
,盆栽,ぼんさい,,cây cảnh
,盆地,ぼんち,,"bồn địa, vùng đất trũng"
,盆景,ぼんけい,,nghệ thuật trang trí hòn non bộ
,旧盆,きゅうぼん,,lễ Ôbôn theo lịch âm
"1360
N2",益,Ích,,Lợi ích
音： えき、やく,利益,りえき,,lợi ích
,有益,ゆうえき,,có ích
,減益,げんえき,,lợi ích giảm xuống
,収益,しゅうえき,,số tiền thu được
,御利益,ごりやく,,"công đức, ơn huệ"
