"801
,提出,ていしゅつ,"đưa ra, trình ra, giao nộp"
,提供,ていきょう,cung cấp
"870
N2",揮,Huy,Chỉ huy
音： き,揮発,きはつ,dễ bay hơi
,指揮,しき,chỉ huy
,発揮,はっき,phát huy
"871
N3",握,Ác,Nắm
訓,（を）握る,（を）にぎる,nắm
音： あく,握手,あくしゅ,bắt tay
,一握,いちあく,"một nắm, một chút"
,掌握,しょうあく,nắm trong tay
,,,
"872
N3",援,Viện,Viện trợ
音： えん,援用,えんよう,"dẫn chứng, trích dẫn"
,援助,えんじょ,viện trợ
,援護,えんご,trợ giúp
,支援,しえん,chi viện
,救援,きゅうえん,cứu viện
"873
N4",換,Hoán,Hoán đổi
訓,（を）換える,（を）かえる,hoán đổi
,（が）換わる,（が）かわる,được hoán đổi
音： かん,換気,かんき,thông gió
,互換,ごかん,thay đổi cho nhau
,転換,てんかん,"chuyển đổi, hoán chuyển"
"874
N2",掌,Chưởng,Lòng bàn tay
音： しょう,掌握,しょうあく,nắm trong tay
,車掌,しゃしょう,nhân viên tàu xe
,合掌,がっしょう,chắp tay
,管掌,かんしょう,"chịu trách nhiệm, quản lý"
,落掌,らくしょう,nhận
"875
N3",揚,Dương,"Thả lên, dỡ hàng, chiên"
訓,（を）揚げる,（を）あげる,"thả lên, dỡ hàng, chiên"
,（に）揚がる,（に）あがる,"được chiên, được đưa lên cao"
音： よう,高揚,こうよう,"cao hứng, nâng cao"
,掲揚,けいよう,"giương cờ, treo cờ"
,浮揚,ふよう,nổi lên
"876
N3",揺,Dao,"Dao động, rung lắc"
訓,（を）揺する,（を）ゆする,"rung, lắc"
,揺る,ゆる,"rung, lắc"
,揺れる,ゆれる,"bị rung, bị lắc"
,揺さぶる,ゆさぶる,"rung mạnh, lắc mạnh"
,揺すぶる,ゆすぶる,"rung nhẹ, lắc nhẹ"
,揺るぐ,ゆるぐ,"lắc lư, dao động"
,揺らぐ,ゆらぐ,"gợn sóng, lung lay tinh thần"
音： よう,動揺,どうよう,"dao động, rung động, lay chuyển"
"877
N2",搭,Đáp,Đi máy bay
音： とう,搭載,とうさい,"trang bị, lắp đặt"
,搭乗,とうじょう,đi máy bay
"878
N3",損,Tổn,"Tổn thất, tổn hại"
訓,（を）損なう,（を）そこなう,"gây tổn thất, gây tổn hại"
,（を）損ねる,（を）そこねる,gây tổn hại tinh thần
音： そん,損益,そんえき,"lời lỗ, được mất"
,破損,はそん,"hư tổn, hư hại"
,欠損,けっそん,"hao hụt, thiếu hụt"
"879
N2",搬,Ban,Chở đi
音： はん,搬入,はんにゅう,chở vào
,拡充,はんしゅつ,chở đi
,搬送,はんそう,vận chuyển
,伝搬,でんぱん,"được lan truyền, được truyền đi"
,運搬,うんぱん,vận tải hàng hóa
"880
N3",（を）担う,Huề,"Dìu dắt, mang theo"
訓,（を）携える,（を）たずさえる,mang theo
,（に）携わる,（に）たずさわる,tham gia vào
音： けい,連携,れんけい,chung sức với nhau
,提携,ていけい,liên kết hợp tác
