,激励,げきれい,động viên
,奨励,しょうれい,khuyến khích
"２３５
N3",効,Hiệu,Hiệu quả
訓,効く,きく,hiệu quả
音： こう,効果,こうか,hiệu quả
,効率,こうりつ,hiệu suất
,無効,むこう,sự vô hiệu
,有効,ゆうこう,hữu hiệu
"２３６
N2",劾,Hặc,Hạch tội
音： がい,弾劾,だんがい,chỉ trích
,,,
"２３７
N3",勇,Dũng,Dũng cảm
訓,勇む,いさむ,hùng dũng
,勇ましい,いさましい,dũng cảm
音： ゆう,勇気,ゆうき,dũng khí
,勇敢,ゆうかん,dũng cảm
,勇壮,ゆうそう,dũng sĩ
"２３８
N2",勅,Sắc,Sắc lệnh
音： ちょく,勅旨,ちょくし,sắc chỉ
,勅諭,ちょくゆ,sắc dụ
,勅令,ちょくれい,sắc lệnh
,勅命,ちょくめい,lệnh vua
,勅書,ちょくしょ,sắc thư
"２３９
N2",勃,Bột,Xảy ra đột nhiên
音： ぼつ,勃然,ぼつぜん,thình lình
,勃起,ぼっき,sự dựng đứng
,勃発,ぼっぱつ,bùng nổ
,勃興,ぼっこう,tăng trưởng đột ngột
,鬱勃,うつぼつ,sức ép
"２４０
N5",勉,Miễn,Cố gắng
音： べん,勉強,べんきょう,việc học
,勉学,べんがく,siêng học
,勉励,べんれい,sự chuyên cần
,勤勉,きんべん,cần cù
